id,date,price,bedrooms,sqft_lot,level
6762700020,2014-10-13,7700000.0,6,27600,higt_level
9808700762,2014-06-11,7062500.0,5,37325,higt_level
9208900037,2014-09-19,6885000.0,6,31374,higt_level
2470100110,2014-08-04,5570000.0,5,35069,higt_level
8907500070,2015-04-13,5350000.0,5,23985,higt_level
7558700030,2015-04-13,5300000.0,6,24829,higt_level
1247600105,2014-10-20,5110800.0,5,45517,higt_level
1924059029,2014-06-17,4668000.0,5,13068,higt_level
7738500731,2014-08-15,4500000.0,5,40014,higt_level
3835500195,2014-06-18,4489000.0,4,27517,higt_level
6065300370,2015-05-06,4208000.0,5,21540,higt_level
6447300265,2014-10-14,4000000.0,4,16573,higt_level
8106100105,2014-11-14,3850000.0,4,21300,higt_level
2303900100,2014-09-11,3800000.0,3,35000,higt_level
853200010,2014-07-01,3800000.0,5,42840,higt_level
7397300170,2014-05-30,3710000.0,4,28078,higt_level
4217402115,2015-04-21,3650000.0,6,19401,higt_level
4389201095,2015-05-11,3650000.0,5,8694,higt_level
2425049063,2014-09-11,3640900.0,4,22257,higt_level
3625049042,2014-10-11,3635000.0,5,19897,higt_level
4114601570,2014-11-18,3600000.0,3,12431,higt_level
9253900271,2015-01-07,3567000.0,5,10584,higt_level
2525049148,2014-10-07,3418800.0,5,20412,higt_level
9362000040,2014-06-23,3400000.0,3,17826,higt_level
1118000320,2015-05-08,3400000.0,4,11765,higt_level
3126059023,2015-03-03,3395000.0,4,47870,higt_level
9808100150,2015-04-02,3345000.0,5,15360,higt_level
3625059152,2014-12-30,3300000.0,3,41300,higt_level
1346300150,2014-10-20,3300000.0,8,11750,higt_level
3625059043,2014-09-04,3300000.0,5,13873,higt_level
6072800246,2014-07-02,3300000.0,5,21738,higt_level
7524900003,2014-12-10,3278000.0,2,10000,higt_level
251500080,2014-08-26,3204000.0,4,18851,higt_level
1068000375,2014-09-23,3200000.0,6,18200,higt_level
624069108,2014-08-12,3200000.0,4,28206,higt_level
8964800890,2015-01-09,3200000.0,3,13363,higt_level
7159200005,2014-05-07,3200000.0,7,8856,higt_level
3025059124,2014-08-28,3168750.0,5,11979,higt_level
333100295,2014-11-24,3120000.0,3,56609,higt_level
2424049029,2014-05-29,3100000.0,6,15682,higt_level
4131900066,2014-08-25,3100000.0,3,13085,higt_level
3025059093,2014-07-29,3100000.0,5,23669,higt_level
3225069065,2014-06-24,3075000.0,4,18641,higt_level
3760500116,2014-11-20,3070000.0,3,55867,higt_level
1732800780,2015-02-12,3065000.0,5,7500,higt_level
1118000340,2015-04-08,3000000.0,5,11265,higt_level
3761100045,2014-06-18,3000000.0,4,12445,higt_level
518500480,2014-08-11,3000000.0,3,10756,higt_level
8964800330,2015-04-07,3000000.0,4,14823,higt_level
9808100100,2015-02-02,3000000.0,5,14091,higt_level
1925059254,2015-05-07,2998000.0,5,16481,higt_level
3303850390,2014-12-12,2983000.0,5,18898,higt_level
1370800515,2014-10-30,2950000.0,4,5884,higt_level
