id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,nivel,sqft_size,place_id,osm_type,country,coutry_code
7519000335,20141203T000000,865000.0,6,2.75,3500,5150,2.0,0,0,5,8,2430,1070,1909,0,98117,47.6842,-122.363,1430,3860,nivel_3,size_3,22358157,node,na,na
8944290160,20141104T000000,230000.0,3,2.0,1510,3413,2.0,0,0,3,7,1510,0,1985,0,98031,47.3912,-122.167,1570,3777,nivel_i,size_1,67103214,node,na,na
1982201345,20140502T000000,440000.0,2,1.0,800,4850,1.0,0,0,4,7,800,0,1944,0,98107,47.6639,-122.364,1150,4365,nivel_1,size_i,142068412,way,na,na
7237501380,20150507T000000,1267500.0,4,3.5,4640,13404,2.0,0,0,3,10,4640,0,2007,0,98059,47.531,-122.134,4690,13590,nivel_3,size_3,294525268,way,na,na
4099500605,20150417T000000,840000.0,4,2.5,2360,9600,1.0,0,2,3,8,1630,730,1973,0,98040,47.5889,-122.249,2140,6300,nivel_3,size_2,294455859,way,na,na
3625059071,20150108T000000,899000.0,4,2.25,2290,40946,1.0,0,3,4,8,1550,740,1960,0,98008,47.616,-122.103,2790,20076,nivel_3,size_2,294537695,way,na,na
7852100110,20150422T000000,490000.0,4,3.0,2640,5267,2.0,0,0,3,7,2640,0,2001,0,98065,47.5298,-121.88,2640,5670,nivel_2,size_3,128027666,way,na,na
2194100050,20140929T000000,850000.0,4,2.5,3180,11652,2.0,0,1,3,9,3180,0,1977,0,98040,47.567,-122.212,3110,15183,nivel_3,size_3,294513765,way,na,na
3262301610,20141118T000000,865000.0,3,1.5,1530,10827,1.0,0,0,4,8,1530,0,1955,0,98039,47.6354,-122.234,2050,10827,nivel_3,size_1,294471440,way,na,na
8682260480,20140528T000000,429000.0,2,1.75,1350,6315,1.0,0,0,3,8,1350,0,2005,0,98053,47.7141,-122.032,1665,5390,nivel_1,size_i,294586370,way,na,na
8598900157,20150313T000000,263700.0,3,1.0,1200,6561,1.0,0,0,3,6,1200,0,1950,1968,98177,47.7763,-122.36,1340,9450,nivel_i,size_i,294507126,way,na,na
5381000411,20150410T000000,239950.0,3,1.75,1440,7200,1.0,0,0,3,7,1440,0,1986,0,98188,47.4473,-122.284,1640,9167,nivel_i,size_1,219538965,way,na,na
2172000846,20140619T000000,248000.0,4,2.0,2080,13510,1.0,0,0,3,7,1040,1040,1950,0,98178,47.4918,-122.258,2010,11625,nivel_i,size_2,221865194,way,na,na
2591720160,20150501T000000,674950.0,3,2.75,3510,92347,2.0,0,0,3,10,3510,0,1990,0,98038,47.3735,-122.018,2970,37070,nivel_3,size_3,208377078,way,na,na
797000330,20150402T000000,369900.0,3,1.75,2150,19127,1.0,0,0,3,7,1650,500,1978,0,98168,47.5061,-122.324,1550,15000,nivel_1,size_2,222137491,way,na,na
7015200136,20150503T000000,1000000.0,5,1.0,2010,5210,1.5,0,0,3,9,1890,120,1927,0,98119,47.6501,-122.37,2330,5000,nivel_3,size_2,146066784,way,na,na
3558000120,20140702T000000,329950.0,4,2.5,2120,4558,2.0,0,0,3,7,2120,0,2002,0,98038,47.3795,-122.022,2370,5506,nivel_1,size_2,210438067,way,na,na
5469501200,20140820T000000,431000.0,3,2.25,2360,14950,1.0,0,0,4,9,2360,0,1978,0,98042,47.3856,-122.158,2720,14388,nivel_1,size_2,221740257,way,na,na
9269200340,20150423T000000,432000.0,4,1.75,1970,5160,1.5,0,0,3,7,1970,0,1942,0,98126,47.534,-122.373,1230,4920,nivel_1,size_2,148681226,way,na,na
2197600451,20141105T000000,631000.0,5,2.0,2270,2400,2.0,0,0,3,7,2270,0,1905,0,98122,47.6051,-122.319,1320,2400,nivel_2,size_2,148036696,way,na,na
6072000380,20140701T000000,505000.0,4,2.75,2200,9778,1.0,0,0,4,8,1100,1100,1962,0,98006,47.5472,-122.176,2140,11321,nivel_2,size_2,46269407,node,na,na
1853080120,20140903T000000,919950.0,5,2.75,3170,7062,2.0,0,0,3,9,3170,0,2014,0,98074,47.5937,-122.061,3210,6891,nivel_3,size_3,294555072,way,na,na
3756600240,20150319T000000,379000.0,3,1.0,1140,10320,1.0,0,0,4,7,1140,0,1963,0,98034,47.7168,-122.196,1140,10412,nivel_1,size_i,170271739,way,na,na
2310030500,20140710T000000,263000.0,3,1.75,1580,9187,1.0,0,0,3,8,1180,400,1993,0,98038,47.3538,-122.047,1620,6397,nivel_i,size_1,210613878,way,na,na
1939130120,20140718T000000,735000.0,4,2.5,3100,8529,2.0,0,0,3,9,3100,0,1990,0,98074,47.6252,-122.029,2710,8344,nivel_3,size_3,294464180,way,na,na
1431400070,20150205T000000,215000.0,3,1.0,1060,7900,1.0,0,0,3,7,1060,0,1961,2001,98058,47.4604,-122.18,1310,7900,nivel_i,size_i,222655928,way,na,na
7518507580,20150502T000000,581000.0,2,1.0,1170,4080,1.0,0,0,4,7,1170,0,1909,0,98117,47.6784,-122.386,1560,4586,nivel_2,size_i,144863816,way,na,na
9200000050,20140918T000000,109500.0,2,1.0,800,10625,1.0,0,0,3,6,800,0,1942,0,98168,47.496,-122.317,1130,10625,nivel_i,size_i,225522556,way,na,na
